Alpha Power (Lv. 1)	オヤブンパワー Lv.1	우두머리 파워 Lv.1	头目力 Lv.1	頭目力 Lv.1
Resistance Power: Fighting (Lv. 2)	めんえきパワー：かくとう Lv.2	저항 파워: 격투 Lv.2	免疫力：格斗 Lv.2	免疫力：格鬥 Lv.2
Resistance Power: Fighting (Lv. 3)	めんえきパワー：かくとう Lv.3	저항 파워: 격투 Lv.3	免疫力：格斗 Lv.3	免疫力：格鬥 Lv.3
Resistance Power: Poison (Lv. 1)	めんえきパワー：どく Lv.1	저항 파워: 독 Lv.1	免疫力：毒 Lv.1	免疫力：毒 Lv.1
Resistance Power: Poison (Lv. 2)	めんえきパワー：どく Lv.2	저항 파워: 독 Lv.2	免疫力：毒 Lv.2	免疫力：毒 Lv.2
Resistance Power: Poison (Lv. 3)	めんえきパワー：どく Lv.3	저항 파워: 독 Lv.3	免疫力：毒 Lv.3	免疫力：毒 Lv.3
Resistance Power: Ground (Lv. 1)	めんえきパワー：じめん Lv.1	저항 파워: 땅 Lv.1	免疫力：地面 Lv.1	免疫力：地面 Lv.1
Resistance Power: Ground (Lv. 2)	めんえきパワー：じめん Lv.2	저항 파워: 땅 Lv.2	免疫力：地面 Lv.2	免疫力：地面 Lv.2
Resistance Power: Ground (Lv. 3)	めんえきパワー：じめん Lv.3	저항 파워: 땅 Lv.3	免疫力：地面 Lv.3	免疫力：地面 Lv.3
Resistance Power: Flying (Lv. 1)	めんえきパワー：ひこう Lv.1	저항 파워: 비행 Lv.1	免疫力：飞行 Lv.1	免疫力：飛行 Lv.1
Resistance Power: Flying (Lv. 2)	めんえきパワー：ひこう Lv.2	저항 파워: 비행 Lv.2	免疫力：飞行 Lv.2	免疫力：飛行 Lv.2
Resistance Power: Flying (Lv. 3)	めんえきパワー：ひこう Lv.3	저항 파워: 비행 Lv.3	免疫力：飞行 Lv.3	免疫力：飛行 Lv.3
Resistance Power: Psychic (Lv. 1)	めんえきパワー：エスパー Lv.1	저항 파워: 에스퍼 Lv.1	免疫力：超能力 Lv.1	免疫力：超能力 Lv.1
Resistance Power: Psychic (Lv. 2)	めんえきパワー：エスパー Lv.2	저항 파워: 에스퍼 Lv.2	免疫力：超能力 Lv.2	免疫力：超能力 Lv.2
Resistance Power: Psychic (Lv. 3)	めんえきパワー：エスパー Lv.3	저항 파워: 에스퍼 Lv.3	免疫力：超能力 Lv.3	免疫力：超能力 Lv.3
Resistance Power: Bug (Lv. 1)	めんえきパワー：むし Lv.1	저항 파워: 벌레 Lv.1	免疫力：虫 Lv.1	免疫力：蟲 Lv.1
Resistance Power: Bug (Lv. 2)	めんえきパワー：むし Lv.2	저항 파워: 벌레 Lv.2	免疫力：虫 Lv.2	免疫力：蟲 Lv.2
Resistance Power: Bug (Lv. 3)	めんえきパワー：むし Lv.3	저항 파워: 벌레 Lv.3	免疫力：虫 Lv.3	免疫力：蟲 Lv.3
Resistance Power: Rock (Lv. 1)	めんえきパワー：いわ Lv.1	저항 파워: 바위 Lv.1	免疫力：岩石 Lv.1	免疫力：岩石 Lv.1
Resistance Power: Rock (Lv. 2)	めんえきパワー：いわ Lv.2	저항 파워: 바위 Lv.2	免疫力：岩石 Lv.2	免疫力：岩石 Lv.2
Resistance Power: Rock (Lv. 3)	めんえきパワー：いわ Lv.3	저항 파워: 바위 Lv.3	免疫力：岩石 Lv.3	免疫力：岩石 Lv.3
Resistance Power: Ghost (Lv. 1)	めんえきパワー：ゴースト Lv.1	저항 파워: 고스트 Lv.1	免疫力：幽灵 Lv.1	免疫力：幽靈 Lv.1
Resistance Power: Ghost (Lv. 2)	めんえきパワー：ゴースト Lv.2	저항 파워: 고스트 Lv.2	免疫力：幽灵 Lv.2	免疫力：幽靈 Lv.2
Resistance Power: Ghost (Lv. 3)	めんえきパワー：ゴースト Lv.3	저항 파워: 고스트 Lv.3	免疫力：幽灵 Lv.3	免疫力：幽靈 Lv.3
Resistance Power: Dragon (Lv. 1)	めんえきパワー：ドラゴン Lv.1	저항 파워: 드래곤 Lv.1	免疫力：龙 Lv.1	免疫力：龍 Lv.1
Resistance Power: Dragon (Lv. 2)	めんえきパワー：ドラゴン Lv.2	저항 파워: 드래곤 Lv.2	免疫力：龙 Lv.2	免疫力：龍 Lv.2
Resistance Power: Dragon (Lv. 3)	めんえきパワー：ドラゴン Lv.3	저항 파워: 드래곤 Lv.3	免疫力：龙 Lv.3	免疫力：龍 Lv.3
Resistance Power: Dark (Lv. 1)	めんえきパワー：あく Lv.1	저항 파워: 악 Lv.1	免疫力：恶 Lv.1	免疫力：惡 Lv.1
Resistance Power: Dark (Lv. 2)	めんえきパワー：あく Lv.2	저항 파워: 악 Lv.2	免疫力：恶 Lv.2	免疫力：惡 Lv.2
Resistance Power: Dark (Lv. 3)	めんえきパワー：あく Lv.3	저항 파워: 악 Lv.3	免疫力：恶 Lv.3	免疫力：惡 Lv.3
Resistance Power: Steel (Lv. 1)	めんえきパワー：はがね Lv.1	저항 파워: 강철 Lv.1	免疫力：钢 Lv.1	免疫力：鋼 Lv.1
Resistance Power: Steel (Lv. 2)	めんえきパワー：はがね Lv.2	저항 파워: 강철 Lv.2	免疫力：钢 Lv.2	免疫力：鋼 Lv.2
Resistance Power: Steel (Lv. 3)	めんえきパワー：はがね Lv.3	저항 파워: 강철 Lv.3	免疫力：钢 Lv.3	免疫力：鋼 Lv.3
Resistance Power: Fairy (Lv. 1)	めんえきパワー：フェアリー Lv.1	저항 파워: 페어리 Lv.1	免疫力：妖精 Lv.1	免疫力：妖精 Lv.1
Resistance Power: Fairy (Lv. 2)	めんえきパワー：フェアリー Lv.2	저항 파워: 페어리 Lv.2	免疫力：妖精 Lv.2	免疫力：妖精 Lv.2
Resistance Power: Fairy (Lv. 3)	めんえきパワー：フェアリー Lv.3	저항 파워: 페어리 Lv.3	免疫力：妖精 Lv.3	免疫力：妖精 Lv.3
Humungo Power (Lv. 1)	でかでかパワー Lv.1	큼직큼직 파워 Lv.1	大大力 Lv.1	大大力 Lv.1
Humungo Power (Lv. 2)	でかでかパワー Lv.2	큼직큼직 파워 Lv.2	大大力 Lv.2	大大力 Lv.2
Humungo Power (Lv. 3)	でかでかパワー Lv.3	큼직큼직 파워 Lv.3	大大力 Lv.3	大大力 Lv.3
Teensy Power (Lv. 1)	ちびちびパワー Lv.1	아기자기 파워 Lv.1	小小力 Lv.1	小小力 Lv.1
Teensy Power (Lv. 2)	ちびちびパワー Lv.2	아기자기 파워 Lv.2	小小力 Lv.2	小小力 Lv.2
Teensy Power (Lv. 3)	ちびちびパワー Lv.3	아기자기 파워 Lv.3	小小力 Lv.3	小小力 Lv.3
Encounter Power (Lv. 1)	そうぐうパワー Lv.1	조우 파워 Lv.1	遭遇力 Lv.1	遭遇力 Lv.1
Encounter Power (Lv. 2)	そうぐうパワー Lv.2	조우 파워 Lv.2	遭遇力 Lv.2	遭遇力 Lv.2
Encounter Power (Lv. 3)	そうぐうパワー Lv.3	조우 파워 Lv.3	遭遇力 Lv.3	遭遇力 Lv.3
Catching Power: Normal (Lv. 1)	ほかくパワー：ノーマル Lv.1	포획 파워: 노말 Lv.1	捕获力：一般 Lv.1	捕獲力：一般 Lv.1
Catching Power: Normal (Lv. 2)	ほかくパワー：ノーマル Lv.2	포획 파워: 노말 Lv.2	捕获力：一般 Lv.2	捕獲力：一般 Lv.2
Catching Power: Normal (Lv. 3)	ほかくパワー：ノーマル Lv.3	포획 파워: 노말 Lv.3	捕获力：一般 Lv.3	捕獲力：一般 Lv.3
Catching Power: Fire (Lv. 1)	ほかくパワー：ほのお Lv.1	포획 파워: 불꽃 Lv.1	捕获力：火 Lv.1	捕獲力：火 Lv.1
Catching Power: Fire (Lv. 2)	ほかくパワー：ほのお Lv.2	포획 파워: 불꽃 Lv.2	捕获力：火 Lv.2	捕獲力：火 Lv.2
Catching Power: Fire (Lv. 3)	ほかくパワー：ほのお Lv.3	포획 파워: 불꽃 Lv.3	捕获力：火 Lv.3	捕獲力：火 Lv.3
Catching Power: Water (Lv. 1)	ほかくパワー：みず Lv.1	포획 파워: 물 Lv.1	捕获力：水 Lv.1	捕獲力：水 Lv.1
Catching Power: Water (Lv. 2)	ほかくパワー：みず Lv.2	포획 파워: 물 Lv.2	捕获力：水 Lv.2	捕獲力：水 Lv.2
Catching Power: Water (Lv. 3)	ほかくパワー：みず Lv.3	포획 파워: 물 Lv.3	捕获力：水 Lv.3	捕獲力：水 Lv.3
Catching Power: Electric (Lv. 1)	ほかくパワー：でんき Lv.1	포획 파워: 전기 Lv.1	捕获力：电 Lv.1	捕獲力：電 Lv.1
Catching Power: Electric (Lv. 2)	ほかくパワー：でんき Lv.2	포획 파워: 전기 Lv.2	捕获力：电 Lv.2	捕獲力：電 Lv.2
Catching Power: Electric (Lv. 3)	ほかくパワー：でんき Lv.3	포획 파워: 전기 Lv.3	捕获力：电 Lv.3	捕獲力：電 Lv.3
Catching Power: Grass (Lv. 1)	ほかくパワー：くさ Lv.1	포획 파워: 풀 Lv.1	捕获力：草 Lv.1	捕獲力：草 Lv.1
Catching Power: Grass (Lv. 2)	ほかくパワー：くさ Lv.2	포획 파워: 풀 Lv.2	捕获力：草 Lv.2	捕獲力：草 Lv.2
Catching Power: Grass (Lv. 3)	ほかくパワー：くさ Lv.3	포획 파워: 풀 Lv.3	捕获力：草 Lv.3	捕獲力：草 Lv.3
Catching Power: Ice (Lv. 1)	ほかくパワー：こおり Lv.1	포획 파워: 얼음 Lv.1	捕获力：冰 Lv.1	捕獲力：冰 Lv.1
Catching Power: Ice (Lv. 2)	ほかくパワー：こおり Lv.2	포획 파워: 얼음 Lv.2	捕获力：冰 Lv.2	捕獲力：冰 Lv.2
Catching Power: Ice (Lv. 3)	ほかくパワー：こおり Lv.3	포획 파워: 얼음 Lv.3	捕获力：冰 Lv.3	捕獲力：冰 Lv.3
Catching Power: Fighting (Lv. 1)	ほかくパワー：かくとう Lv.1	포획 파워: 격투 Lv.1	捕获力：格斗 Lv.1	捕獲力：格鬥 Lv.1
Catching Power: Fighting (Lv. 2)	ほかくパワー：かくとう Lv.2	포획 파워: 격투 Lv.2	捕获力：格斗 Lv.2	捕獲力：格鬥 Lv.2
Catching Power: Fighting (Lv. 3)	ほかくパワー：かくとう Lv.3	포획 파워: 격투 Lv.3	捕获力：格斗 Lv.3	捕獲力：格鬥 Lv.3
Catching Power: Poison (Lv. 1)	ほかくパワー：どく Lv.1	포획 파워: 독 Lv.1	捕获力：毒 Lv.1	捕獲力：毒 Lv.1
Catching Power: Poison (Lv. 2)	ほかくパワー：どく Lv.2	포획 파워: 독 Lv.2	捕获力：毒 Lv.2	捕獲力：毒 Lv.2
Catching Power: Poison (Lv. 3)	ほかくパワー：どく Lv.3	포획 파워: 독 Lv.3	捕获力：毒 Lv.3	捕獲力：毒 Lv.3
Catching Power: Ground (Lv. 1)	ほかくパワー：じめん Lv.1	포획 파워: 땅 Lv.1	捕获力：地面 Lv.1	捕獲力：地面 Lv.1
Catching Power: Ground (Lv. 2)	ほかくパワー：じめん Lv.2	포획 파워: 땅 Lv.2	捕获力：地面 Lv.2	捕獲力：地面 Lv.2
Catching Power: Ground (Lv. 3)	ほかくパワー：じめん Lv.3	포획 파워: 땅 Lv.3	捕获力：地面 Lv.3	捕獲力：地面 Lv.3
Catching Power: Flying (Lv. 1)	ほかくパワー：ひこう Lv.1	포획 파워: 비행 Lv.1	捕获力：飞行 Lv.1	捕獲力：飛行 Lv.1
Catching Power: Flying (Lv. 2)	ほかくパワー：ひこう Lv.2	포획 파워: 비행 Lv.2	捕获力：飞行 Lv.2	捕獲力：飛行 Lv.2
Catching Power: Flying (Lv. 3)	ほかくパワー：ひこう Lv.3	포획 파워: 비행 Lv.3	捕获力：飞行 Lv.3	捕獲力：飛行 Lv.3
Catching Power: Psychic (Lv. 1)	ほかくパワー：エスパー Lv.1	포획 파워: 에스퍼 Lv.1	捕获力：超能力 Lv.1	捕獲力：超能力 Lv.1
Catching Power: Psychic (Lv. 2)	ほかくパワー：エスパー Lv.2	포획 파워: 에스퍼 Lv.2	捕获力：超能力 Lv.2	捕獲力：超能力 Lv.2
Catching Power: Psychic (Lv. 3)	ほかくパワー：エスパー Lv.3	포획 파워: 에스퍼 Lv.3	捕获力：超能力 Lv.3	捕獲力：超能力 Lv.3
Catching Power: Bug (Lv. 1)	ほかくパワー：むし Lv.1	포획 파워: 벌레 Lv.1	捕获力：虫 Lv.1	捕獲力：蟲 Lv.1
Catching Power: Bug (Lv. 2)	ほかくパワー：むし Lv.2	포획 파워: 벌레 Lv.2	捕获力：虫 Lv.2	捕獲力：蟲 Lv.2
Catching Power: Bug (Lv. 3)	ほかくパワー：むし Lv.3	포획 파워: 벌레 Lv.3	捕获力：虫 Lv.3	捕獲力：蟲 Lv.3
Catching Power: Rock (Lv. 1)	ほかくパワー：いわ Lv.1	포획 파워: 바위 Lv.1	捕获力：岩石 Lv.1	捕獲力：岩石 Lv.1
Catching Power: Rock (Lv. 2)	ほかくパワー：いわ Lv.2	포획 파워: 바위 Lv.2	捕获力：岩石 Lv.2	捕獲力：岩石 Lv.2
Catching Power: Rock (Lv. 3)	ほかくパワー：いわ Lv.3	포획 파워: 바위 Lv.3	捕获力：岩石 Lv.3	捕獲力：岩石 Lv.3
Catching Power: Ghost (Lv. 1)	ほかくパワー：ゴースト Lv.1	포획 파워: 고스트 Lv.1	捕获力：幽灵 Lv.1	捕獲力：幽靈 Lv.1
Catching Power: Ghost (Lv. 2)	ほかくパワー：ゴースト Lv.2	포획 파워: 고스트 Lv.2	捕获力：幽灵 Lv.2	捕獲力：幽靈 Lv.2
Catching Power: Ghost (Lv. 3)	ほかくパワー：ゴースト Lv.3	포획 파워: 고스트 Lv.3	捕获力：幽灵 Lv.3	捕獲力：幽靈 Lv.3
Catching Power: Dragon (Lv. 1)	ほかくパワー：ドラゴン Lv.1	포획 파워: 드래곤 Lv.1	捕获力：龙 Lv.1	捕獲力：龍 Lv.1
Catching Power: Dragon (Lv. 2)	ほかくパワー：ドラゴン Lv.2	포획 파워: 드래곤 Lv.2	捕获力：龙 Lv.2	捕獲力：龍 Lv.2
Catching Power: Dragon (Lv. 3)	ほかくパワー：ドラゴン Lv.3	포획 파워: 드래곤 Lv.3	捕获力：龙 Lv.3	捕獲力：龍 Lv.3
Catching Power: Dark (Lv. 1)	ほかくパワー：あく Lv.1	포획 파워: 악 Lv.1	捕获力：恶 Lv.1	捕獲力：惡 Lv.1
Catching Power: Dark (Lv. 2)	ほかくパワー：あく Lv.2	포획 파워: 악 Lv.2	捕获力：恶 Lv.2	捕獲力：惡 Lv.2
Catching Power: Dark (Lv. 3)	ほかくパワー：あく Lv.3	포획 파워: 악 Lv.3	捕获力：恶 Lv.3	捕獲力：惡 Lv.3
Catching Power: Steel (Lv. 1)	ほかくパワー：はがね Lv.1	포획 파워: 강철 Lv.1	捕获力：钢 Lv.1	捕獲力：鋼 Lv.1
Catching Power: Steel (Lv. 2)	ほかくパワー：はがね Lv.2	포획 파워: 강철 Lv.2	捕获力：钢 Lv.2	捕獲力：鋼 Lv.2
Catching Power: Steel (Lv. 3)	ほかくパワー：はがね Lv.3	포획 파워: 강철 Lv.3	捕获力：钢 Lv.3	捕獲力：鋼 Lv.3
Catching Power: Fairy (Lv. 1)	ほかくパワー：フェアリー Lv.1	포획 파워: 페어리 Lv.1	捕获力：妖精 Lv.1	捕獲力：妖精 Lv.1
Catching Power: Fairy (Lv. 2)	ほかくパワー：フェアリー Lv.2	포획 파워: 페어리 Lv.2	捕获力：妖精 Lv.2	捕獲力：妖精 Lv.2
Catching Power: Fairy (Lv. 3)	ほかくパワー：フェアリー Lv.3	포획 파워: 페어리 Lv.3	捕获力：妖精 Lv.3	捕獲力：妖精 Lv.3
Catching Power: All Types (Lv. 1)	ほかくパワー：すべて Lv.1	포획 파워: 모든 타입 Lv.1	捕获力：所有属性 Lv.1	捕獲力：全屬性 Lv.1
Catching Power: All Types (Lv. 2)	ほかくパワー：すべて Lv.2	포획 파워: 모든 타입 Lv.2	捕获力：所有属性 Lv.2	捕獲力：全屬性 Lv.2
Catching Power: All Types (Lv. 3)	ほかくパワー：すべて Lv.3	포획 파워: 모든 타입 Lv.3	捕获力：所有属性 Lv.3	捕獲力：全屬性 Lv.3
Pitch-Black Power	あんこくパワー	암흑 파워	暗黑力	暗黑力
Ruby-Red Power	オメガパワー	오메가 파워	欧米伽力	歐米加力
Sapphire-Blue Power	アルファパワー	알파 파워	阿尔法力	阿爾法力
Emerald-Green Power	デルタパワー	델타 파워	德尔塔力	德爾塔力
Thunderclap Power	じんらいパワ－	신뢰 파워	奔雷力	奔雷力
