名称	形态&样子	宝可梦形态	宝可梦ID	宝可梦形态ID	宝可梦编号	备注
基格尔德	５０％形态	基格尔德-５０％形态	02CE	0003	718	
基格尔德	完全体形态	基格尔德-完全体形态	02CE	0004	718	
基格尔德	超级基格尔德	超级基格尔德	02CE	0005	718	
蒂安希	无	蒂安希	02CF	0000	719	
蒂安希	超级蒂安希	超级蒂安希	02CF	0001	719	
胡帕	惩戒胡帕	胡帕-惩戒胡帕	02D0	0000	720	
胡帕	解放胡帕	胡帕-解放胡帕	02D0	0001	720	
波尔凯尼恩	无	波尔凯尼恩	02D1	0000	721	
好胜蟹	无	好胜蟹	02E3	0000	739	2.0.0
好胜毛蟹	无	好胜毛蟹	02E4	0000	740	2.0.0
好胜毛蟹	超级好胜毛蟹	超级好胜毛蟹	02E4	0001	740	2.0.0
胆小虫	无	胆小虫	02FF	0000	767	2.0.0
具甲武者	无	具甲武者	0300	0000	768	2.0.0
具甲武者	超级具甲武者	超级具甲武者	0300	0001	768	2.0.0
沙丘娃	无	沙丘娃	0301	0000	769	2.0.0
噬沙堡爷	无	噬沙堡爷	0302	0000	770	2.0.0
谜拟丘	化形的样子	谜拟丘-化形的样子	030A	0000	778	2.0.0
谜拟丘	现形的样子	谜拟丘-现形的样子	030A	0001	778	2.0.0
老翁龙	无	老翁龙	030C	0000	780	
老翁龙	超级老翁龙	超级老翁龙	030C	0001	780	
玛机雅娜	现在的颜色	玛机雅娜-现在的颜色	0321	0000	801	2.0.0
玛机雅娜	５００年前的颜色	玛机雅娜-５００年前的颜色	0321	0001	801	2.0.0
玛机雅娜	超级玛机雅娜 现在的颜色	超级玛机雅娜 现在的颜色	0321	0002	801	2.0.0
玛机雅娜	超级玛机雅娜 ５００年前的颜色	超级玛机雅娜 ５００年前的颜色	0321	0003	801	2.0.0
玛夏多	栖影	玛夏多	0322	0000	802	2.0.0
捷拉奥拉	无	捷拉奥拉	0327	0000	807	2.0.0
捷拉奥拉	超级捷拉奥拉	超级捷拉奥拉	0327	0001	807	2.0.0
美录坦	无	美录坦	0328	0000	808	2.0.0
美录梅塔	无	美录梅塔	0329	0000	809	2.0.0
稚山雀	无	稚山雀	0335	0000	821	2.0.0
蓝鸦	无	蓝鸦	0336	0000	822	2.0.0
钢铠鸦	无	钢铠鸦	0337	0000	823	2.0.0
狡小狐	无	狡小狐	033B	0000	827	2.0.0
猾大狐	无	猾大狐	033C	0000	828	2.0.0
电音婴	无	电音婴	0350	0000	848	2.0.0
颤弦蝾螈	高调的样子	颤弦蝾螈-高调的样子	0351	0000	849	2.0.0
颤弦蝾螈	低调的样子	颤弦蝾螈-低调的样子	0351	0001	849	2.0.0
拳拳蛸	无	拳拳蛸	0354	0000	852	2.0.0
八爪武师	无	八爪武师	0355	0000	853	2.0.0
喵头目	无	喵头目	035F	0000	863	2.0.0
葱游兵	无	葱游兵	0361	0000	865	2.0.0
踏冰人偶	无	踏冰人偶	0362	0000	866	2.0.0
迭失板	无	迭失板	0363	0000	867	2.0.0
列阵兵	无	列阵兵	0366	0000	870	
列阵兵	超级列阵兵	超级列阵兵	0366	0001	870	
爱管侍	雄性的样子	爱管侍-雄性的样子	036C	0000	876	2.0.0
爱管侍	雌性的样子	爱管侍-雌性的样子	036C	0001	876	2.0.0
莫鲁贝可	满腹花纹	莫鲁贝可-满腹花纹	036D	0000	877	2.0.0
莫鲁贝可	空腹花纹	莫鲁贝可-空腹花纹	036D	0001	877	2.0.0
劈斧螳螂	无	劈斧螳螂	0384	0000	900	2.0.0
万针鱼	无	万针鱼	0388	0000	904	2.0.0
墓仔狗	无	墓仔狗	039C	0000	924	2.0.0
墓扬犬	无	墓扬犬	039D	0000	925	2.0.0
吃吼霸	无	吃吼霸	03A3	0000	931	2.0.0
热辣娃	无	热辣娃	03AA	0000	938	2.0.0
狠辣椒	无	狠辣椒	03AB	0000	939	2.0.0
狠辣椒	超级狠辣椒	超级狠辣椒	03AB	0001	939	2.0.0
凉脊龙	无	凉脊龙	03B5	0000	949	2.0.0
冻脊龙	无	冻脊龙	03B6	0000	950	2.0.0
戟脊龙	无	戟脊龙	03B7	0000	951	2.0.0
戟脊龙	超级戟脊龙	超级戟脊龙	03B7	0001	951	2.0.0
米立龙	上弓姿势	米立龙-上弓姿势	03B8	0000	952	2.0.0
米立龙	下垂姿势	米立龙-下垂姿势	03B8	0001	952	2.0.0
米立龙	平挺姿势	米立龙-平挺姿势	03B8	0002	952	2.0.0
米立龙		超级米立龙（中间上工弓）	03B8	0003	952	2.0.0
米立龙		超级米立龙（左边上工弓）	03B8	0004	952	2.0.0
米立龙		超级米立龙（右边上工弓）	03B8	0005	952	2.0.0
摩托蜥	无	摩托蜥	03B9	0000	953	2.0.0
怒鹦哥	绿羽毛	怒鹦哥-绿羽毛	03C0	0000	960	2.0.0
怒鹦哥	蓝羽毛	怒鹦哥-蓝羽毛	03C0	0001	960	2.0.0
怒鹦哥	黄羽毛	怒鹦哥-黄羽毛	03C0	0002	960	2.0.0
怒鹦哥	白羽毛	怒鹦哥-白羽毛	03C0	0003	960	2.0.0
缠红鹤	无	缠红鹤	03C1	0000	961	2.0.0
盐石宝	无	盐石宝	03C3	0000	963	2.0.0
盐石垒	无	盐石垒	03C4	0000	964	2.0.0
盐石巨灵	无	盐石巨灵	03C5	0000	965	2.0.0
晶光芽	无	晶光芽	03C6	0000	966	2.0.0
晶光花	无	晶光花	03C7	0000	967	2.0.0
晶光花	超级晶光花	超级晶光花	03C7	0001	967	2.0.0
滋汁鼹	无	滋汁鼹	03C8	0000	968	2.0.0
涂标客	无	涂标客	03C9	0000	969	2.0.0
狗仔包	无	狗仔包	03CA	0000	970	2.0.0
麻花犬	无	麻花犬	03CB	0000	971	2.0.0
偶叫獒	无	偶叫獒	03CC	0000	972	2.0.0
獒教父	无	獒教父	03CD	0000	973	2.0.0
索财灵	宝箱形态	索财灵-宝箱形态	03D0	0000	976	2.0.0
索财灵	徒步形态	索财灵-徒步形态	03D0	0001	976	2.0.0
赛富豪	无	赛富豪	03D1	0000	977	2.0.0
小锻匠	无	小锻匠	03E8	0000	1000	2.0.0
巧锻匠	无	巧锻匠	03E9	0000	1001	2.0.0
巨锻匠	无	巨锻匠	03EA	0000	1002	2.0.0
炭小侍	无	炭小侍	03EB	0000	1003	2.0.0
红莲铠骑	无	红莲铠骑	03EC	0000	1004	2.0.0
苍炎刃鬼	无	苍炎刃鬼	03ED	0000	1005	2.0.0
弃世猴	无	弃世猴	03F2	0000	1010	2.0.0
